return_id,transaction_id,merchant_id,customer_id,return_requested_timestamp,return_reason,days_after_delivery,item_condition,return_approved,refund_issued,refund_delay_days,return_outcome
RET0000045,TXN0000308,M000132,C000003,2025-01-08 10:17:19,changed_mind,6,missing_tags,0,0,,rejected
RET0000046,TXN0000313,M000042,C000010,2025-01-06 10:41:40,other,4,damaged,0,0,,rejected
RET0000047,TXN0000316,M000143,C000026,2025-01-12 11:01:46,damaged_item,10,missing_tags,0,0,,rejected
RET0000048,TXN0000326,M000156,C000003,2025-01-15 11:20:21,size_issue,13,damaged,0,0,,rejected
RET0000049,TXN0000333,M000050,C000027,2025-01-13 11:44:23,changed_mind,11,opened,1,1,5.0,full_refund
RET0000050,TXN0000356,M000058,C000006,2025-01-09 13:20:27,changed_mind,7,damaged,0,0,,rejected
RET0000051,TXN0000361,M000047,C000060,2025-01-10 13:47:26,damaged_item,8,unopened,1,1,4.0,full_refund
RET0000052,TXN0000365,M000106,C000062,2025-01-03 14:21:40,changed_mind,1,unopened,1,1,5.0,full_refund
RET0000053,TXN0000368,M000002,C000052,2025-01-07 14:30:51,size_issue,5,unopened,0,0,,rejected
RET0000054,TXN0000369,M000235,C000015,2025-01-06 14:30:51,wrong_item,4,damaged,0,0,,rejected
RET0000055,TXN0000382,M000376,C000042,2025-01-15 15:37:14,size_issue,13,damaged,0,0,,rejected
RET0000056,TXN0000383,M000228,C000012,2025-01-10 15:37:25,quality_issue,8,damaged,0,0,,rejected
RET0000057,TXN0000387,M000132,C000007,2025-01-07 15:51:26,other,5,damaged,0,0,,rejected
RET0000058,TXN0000397,M000298,C000017,2025-01-08 16:20:45,damaged_item,6,unopened,1,1,6.0,full_refund
RET0000059,TXN0000399,M000255,C000021,2025-01-04 16:29:40,other,2,damaged,0,0,,rejected
RET0000060,TXN0000408,M000310,C000070,2025-01-04 16:59:27,size_issue,2,opened,1,1,1.0,full_refund
RET0000061,TXN0000411,M000345,C000003,2025-01-05 17:09:21,other,3,damaged,0,0,,rejected
RET0000062,TXN0000412,M000152,C000036,2025-01-14 17:10:34,size_issue,12,missing_tags,0,0,,rejected
RET0000063,TXN0000437,M000287,C000117,2025-01-06 19:17:44,late_delivery,4,unopened,1,1,1.0,full_refund
RET0000064,TXN0000441,M000142,C000021,2025-01-06 19:31:04,size_issue,4,unopened,1,1,3.0,full_refund
RET0000065,TXN0000443,M000287,C000020,2025-01-11 19:32:18,late_delivery,9,opened,1,1,4.0,full_refund
RET0000066,TXN0000445,M000086,C000012,2025-01-07 19:45:07,size_issue,5,missing_tags,0,0,,rejected
RET0000067,TXN0000466,M000168,C000051,2025-01-05 23:14:53,size_issue,3,opened,1,1,3.0,full_refund
RET0000068,TXN0000471,M000344,C000067,2025-01-13 23:47:37,wrong_item,11,damaged,0,0,,rejected
RET0000069,TXN0000479,M000217,C000019,2025-01-15 03:54:59,size_issue,12,damaged,0,0,,rejected
RET0000070,TXN0000489,M000217,C000004,2025-01-10 06:58:07,other,7,unopened,1,1,1.0,full_refund
RET0000071,TXN0000502,M000217,C000043,2025-01-15 07:46:03,changed_mind,12,damaged,0,0,,rejected
RET0000072,TXN0000517,M000112,C000088,2025-01-09 08:59:14,size_issue,6,missing_tags,0,0,,rejected
RET0000073,TXN0000519,M000363,C000060,2025-01-14 08:59:37,other,11,missing_tags,0,0,,rejected
RET0000074,TXN0000527,M000152,C000020,2025-01-16 09:20:02,other,13,opened,1,1,1.0,full_refund
RET0000075,TXN0000559,M000040,C000007,2025-01-04 11:21:06,other,1,damaged,0,0,,rejected
RET0000076,TXN0000572,M000289,C000027,2025-01-14 12:05:01,late_delivery,11,opened,1,1,1.0,full_refund
RET0000077,TXN0000579,M000106,C000022,2025-01-08 12:34:48,size_issue,5,missing_tags,0,0,,rejected
RET0000078,TXN0000581,M000252,C000079,2025-01-06 12:48:54,size_issue,3,opened,1,1,2.0,full_refund
RET0000079,TXN0000596,M000132,C000017,2025-01-14 13:49:33,size_issue,11,damaged,0,0,,rejected
RET0000080,TXN0000599,M000343,C000030,2025-01-10 13:56:22,size_issue,7,damaged,0,0,,rejected
RET0000081,TXN0000600,M000062,C000032,2025-01-07 14:06:39,quality_issue,4,damaged,0,0,,rejected
RET0000082,TXN0000607,M000150,C000007,2025-01-08 14:37:18,changed_mind,5,unopened,1,1,5.0,full_refund
RET0000083,TXN0000609,M000210,C000037,2025-01-06 14:50:57,late_delivery,3,opened,0,0,,rejected
RET0000084,TXN0000643,M000341,C000032,2025-01-15 17:13:02,size_issue,12,missing_tags,0,0,,rejected
RET0000085,TXN0000646,M000349,C000032,2025-01-08 17:16:05,wrong_item,5,opened,0,0,,rejected
RET0000086,TXN0000652,M000363,C000033,2025-01-14 17:43:02,size_issue,11,unopened,1,1,1.0,full_refund
RET0000087,TXN0000655,M000086,C000032,2025-01-14 17:46:52,size_issue,11,unopened,1,1,5.0,full_refund
RET0000088,TXN0000661,M000152,C000019,2025-01-08 18:02:12,size_issue,5,opened,1,1,1.0,full_refund
RET0000089,TXN0000662,M000019,C000063,2025-01-11 18:02:12,changed_mind,8,opened,1,1,4.0,full_refund
RET0000090,TXN0000680,M000168,C000005,2025-01-12 19:36:32,size_issue,9,missing_tags,0,0,,rejected
RET0000091,TXN0000687,M000196,C000032,2025-01-04 19:58:15,changed_mind,1,unopened,1,1,5.0,full_refund
RET0000092,TXN0000700,M000007,C000067,2025-01-11 21:21:40,size_issue,8,damaged,0,0,,rejected
RET0000093,TXN0000749,M000345,C000051,2025-01-16 07:39:34,late_delivery,12,missing_tags,0,0,,rejected
RET0000094,TXN0000751,M000318,C000001,2025-01-14 07:44:26,size_issue,10,damaged,0,0,,rejected
RET0000095,TXN0000762,M000131,C000113,2025-01-17 08:42:39,changed_mind,13,unopened,1,1,2.0,full_refund
RET0000096,TXN0000767,M000330,C000026,2025-01-11 09:02:12,size_issue,7,damaged,0,0,,rejected
RET0000097,TXN0000789,M000156,C000003,2025-01-05 10:25:38,changed_mind,1,missing_tags,0,0,,rejected
RET0000098,TXN0000794,M000369,C000022,2025-01-10 10:46:19,size_issue,6,unopened,1,1,3.0,full_refund
RET0000099,TXN0000811,M000331,C000045,2025-01-17 11:38:10,changed_mind,13,unopened,1,1,5.0,full_refund
RET0000100,TXN0000844,M000317,C000050,2025-01-09 14:15:23,late_delivery,5,missing_tags,0,0,,rejected
RET0000101,TXN0000854,M000388,C000018,2025-01-11 14:42:49,wrong_item,7,missing_tags,0,0,,rejected
RET0000102,TXN0000867,M000235,C000012,2025-01-11 15:34:38,not_as_described,7,damaged,0,0,,rejected
RET0000103,TXN0000871,M000042,C000005,2025-01-13 15:56:12,other,9,opened,1,1,1.0,full_refund
RET0000104,TXN0000880,M000109,C000015,2025-01-11 16:27:48,size_issue,7,missing_tags,0,0,,rejected
RET0000105,TXN0000885,M000366,C000012,2025-01-06 16:50:08,other,2,missing_tags,0,0,,rejected
RET0000106,TXN0000899,M000331,C000074,2025-01-06 17:26:12,size_issue,2,damaged,0,0,,rejected
RET0000107,TXN0000902,M000319,C000027,2025-01-12 17:31:58,size_issue,8,unopened,0,0,,rejected
RET0000108,TXN0000912,M000019,C000003,2025-01-12 18:01:22,wrong_item,8,opened,1,1,1.0,full_refund
RET0000109,TXN0000913,M000019,C000023,2025-01-07 18:11:04,damaged_item,3,missing_tags,0,0,,rejected
RET0000110,TXN0000918,M000343,C000049,2025-01-09 18:21:42,quality_issue,5,opened,0,0,,rejected
RET0000111,TXN0000928,M000007,C000078,2025-01-08 18:44:04,size_issue,4,missing_tags,0,0,,rejected
RET0000112,TXN0000933,M000047,C000010,2025-01-05 18:50:26,size_issue,1,opened,1,1,1.0,full_refund
RET0000113,TXN0000934,M000015,C000038,2025-01-06 18:50:45,late_delivery,2,missing_tags,0,0,,rejected
RET0000114,TXN0000943,M000287,C000012,2025-01-14 19:18:48,damaged_item,10,missing_tags,0,0,,rejected
RET0000115,TXN0000952,M000143,C000065,2025-01-17 19:51:23,size_issue,13,missing_tags,0,0,,rejected
RET0000116,TXN0000969,M000185,C000003,2025-01-10 21:06:43,changed_mind,6,unopened,1,1,3.0,full_refund
RET0000117,TXN0000990,M000376,C000045,2025-01-11 23:10:40,late_delivery,7,damaged,0,0,,rejected
RET0000118,TXN0000994,M000112,C000047,2025-01-17 00:12:11,size_issue,12,unopened,1,1,5.0,full_refund
RET0000119,TXN0001013,M000196,C000037,2025-01-18 05:56:37,quality_issue,13,damaged,0,0,,rejected
RET0000120,TXN0001015,M000319,C000053,2025-01-17 06:59:50,size_issue,12,damaged,0,0,,rejected
RET0000121,TXN0001029,M000139,C000011,2025-01-06 08:12:13,size_issue,1,opened,1,1,5.0,full_refund
RET0000122,TXN0001032,M000109,C000045,2025-01-10 08:25:19,changed_mind,5,missing_tags,0,0,,rejected
RET0000123,TXN0001035,M000178,C000027,2025-01-16 08:52:04,changed_mind,11,opened,1,1,3.0,full_refund
RET0000124,TXN0001037,M000395,C000036,2025-01-12 08:58:59,wrong_item,7,damaged,0,0,,rejected
RET0000125,TXN0001044,M000015,C000010,2025-01-15 09:20:04,quality_issue,10,opened,1,1,3.0,full_refund
RET0000126,TXN0001050,M000134,C000007,2025-01-14 09:46:55,size_issue,9,damaged,0,0,,rejected
RET0000127,TXN0001060,M000109,C000032,2025-01-06 10:08:54,quality_issue,1,unopened,1,1,1.0,full_refund
RET0000128,TXN0001066,M000319,C000049,2025-01-16 10:40:44,other,11,damaged,0,0,,rejected
RET0000129,TXN0001072,M000132,C000019,2025-01-11 10:53:23,size_issue,6,opened,1,1,5.0,full_refund
RET0000130,TXN0001073,M000344,C000025,2025-01-08 11:05:28,changed_mind,3,missing_tags,0,0,,rejected
RET0000131,TXN0001089,M000244,C000032,2025-01-09 11:49:13,wrong_item,4,opened,1,1,3.0,full_refund
RET0000132,TXN0001092,M000033,C000003,2025-01-13 12:06:10,size_issue,8,damaged,0,0,,rejected
RET0000133,TXN0001100,M000045,C000002,2025-01-18 12:51:25,changed_mind,13,missing_tags,0,0,,rejected
RET0000134,TXN0001102,M000196,C000028,2025-01-12 13:01:09,size_issue,7,opened,1,1,5.0,full_refund
RET0000135,TXN0001116,M000269,C000046,2025-01-15 13:43:51,size_issue,10,opened,1,1,1.0,full_refund
RET0000136,TXN0001140,M000294,C000015,2025-01-12 14:55:24,size_issue,7,missing_tags,0,0,,rejected
RET0000137,TXN0001147,M000050,C000011,2025-01-08 15:50:20,other,3,unopened,1,1,6.0,full_refund
RET0000138,TXN0001149,M000181,C000022,2025-01-16 16:02:52,size_issue,11,damaged,0,0,,rejected
RET0000139,TXN0001158,M000161,C000029,2025-01-09 16:31:43,changed_mind,4,unopened,1,1,3.0,full_refund
RET0000140,TXN0001171,M000061,C000049,2025-01-18 17:13:09,other,13,unopened,1,1,3.0,full_refund
RET0000141,TXN0001172,M000096,C000012,2025-01-15 17:15:13,wrong_item,10,damaged,0,0,,rejected
RET0000142,TXN0001182,M000007,C000075,2025-01-12 18:13:38,damaged_item,7,unopened,1,1,3.0,full_refund
RET0000143,TXN0001183,M000190,C000003,2025-01-12 18:14:18,wrong_item,7,missing_tags,0,0,,rejected
RET0000144,TXN0001184,M000196,C000053,2025-01-11 18:17:47,not_as_described,6,damaged,0,0,,rejected
RET0000145,TXN0001185,M000349,C000017,2025-01-18 18:18:27,changed_mind,13,unopened,0,0,,rejected
RET0000146,TXN0001187,M000343,C000001,2025-01-07 18:19:58,other,2,unopened,1,1,3.0,full_refund
RET0000147,TXN0001195,M000136,C000038,2025-01-12 18:37:18,size_issue,7,unopened,1,1,5.0,full_refund
RET0000148,TXN0001202,M000287,C000087,2025-01-16 18:53:33,damaged_item,11,unopened,1,1,4.0,full_refund
RET0000149,TXN0001208,M000287,C000097,2025-01-12 19:16:57,size_issue,7,damaged,0,0,,rejected
RET0000150,TXN0001210,M000342,C000055,2025-01-12 19:24:37,changed_mind,7,opened,1,1,6.0,full_refund
RET0000151,TXN0001217,M000150,C000006,2025-01-06 19:47:20,wrong_item,1,damaged,0,0,,rejected
RET0000152,TXN0001227,M000210,C000011,2025-01-09 20:21:34,size_issue,4,missing_tags,0,0,,rejected
RET0000153,TXN0001243,M000310,C000018,2025-01-09 21:29:01,damaged_item,4,missing_tags,0,0,,rejected
RET0000154,TXN0001255,M000136,C000032,2025-01-15 22:59:22,size_issue,10,opened,1,1,1.0,full_refund
RET0000155,TXN0001280,M000047,C000021,2025-01-13 04:31:11,size_issue,7,missing_tags,0,0,,rejected
RET0000156,TXN0001291,M000136,C000039,2025-01-08 06:16:57,damaged_item,2,unopened,1,1,4.0,full_refund
RET0000157,TXN0001302,M000395,C000015,2025-01-14 07:56:29,damaged_item,8,unopened,1,1,5.0,full_refund
RET0000158,TXN0001312,M000289,C000032,2025-01-18 08:25:30,damaged_item,12,missing_tags,0,0,,rejected
RET0000159,TXN0001330,M000196,C000053,2025-01-19 09:43:49,damaged_item,13,unopened,1,1,4.0,full_refund
RET0000160,TXN0001337,M000217,C000037,2025-01-10 10:09:05,size_issue,4,unopened,1,1,5.0,full_refund
RET0000161,TXN0001348,M000176,C000042,2025-01-09 10:34:36,wrong_item,3,unopened,1,1,1.0,full_refund
RET0000162,TXN0001349,M000061,C000084,2025-01-16 10:35:41,damaged_item,10,opened,1,1,1.0,full_refund
RET0000163,TXN0001353,M000014,C000038,2025-01-17 10:42:41,size_issue,11,missing_tags,0,0,,rejected
RET0000164,TXN0001355,M000341,C000033,2025-01-14 10:50:45,other,8,damaged,0,0,,rejected
RET0000165,TXN0001356,M000143,C000014,2025-01-14 10:52:32,damaged_item,8,unopened,1,1,2.0,full_refund
RET0000166,TXN0001386,M000224,C000013,2025-01-19 13:45:25,other,13,missing_tags,0,0,,rejected
RET0000167,TXN0001391,M000050,C000004,2025-01-10 14:06:17,changed_mind,4,opened,1,1,5.0,full_refund
RET0000168,TXN0001401,M000134,C000042,2025-01-17 15:44:26,not_as_described,11,missing_tags,0,0,,rejected
RET0000169,TXN0001421,M000387,C000025,2025-01-10 17:33:04,wrong_item,4,damaged,0,0,,rejected
RET0000170,TXN0001423,M000217,C000043,2025-01-11 17:48:49,quality_issue,5,unopened,0,0,,rejected
RET0000171,TXN0001424,M000112,C000089,2025-01-14 17:52:57,not_as_described,8,missing_tags,0,0,,rejected
RET0000172,TXN0001426,M000125,C000004,2025-01-10 17:56:19,size_issue,4,unopened,1,1,5.0,full_refund
RET0000173,TXN0001432,M000380,C000037,2025-01-16 18:09:08,size_issue,10,damaged,0,0,,rejected
RET0000174,TXN0001444,M000237,C000021,2025-01-07 18:41:56,size_issue,1,unopened,1,1,1.0,full_refund
RET0000175,TXN0001452,M000131,C000044,2025-01-09 19:21:09,size_issue,3,opened,1,1,6.0,full_refund
RET0000176,TXN0001454,M000210,C000010,2025-01-11 19:36:11,size_issue,5,missing_tags,0,0,,rejected
RET0000177,TXN0001465,M000190,C000032,2025-01-19 20:30:03,changed_mind,13,unopened,1,1,3.0,full_refund
RET0000178,TXN0001480,M000144,C000013,2025-01-16 21:54:59,changed_mind,10,missing_tags,0,0,,rejected
RET0000179,TXN0001496,M000020,C000010,2025-01-19 00:10:00,size_issue,12,damaged,0,0,,rejected
RET0000180,TXN0001511,M000203,C000013,2025-01-15 05:32:24,damaged_item,8,damaged,0,0,,rejected
RET0000181,TXN0001519,M000139,C000035,2025-01-09 07:08:38,damaged_item,2,missing_tags,0,0,,rejected
RET0000182,TXN0001520,M000058,C000007,2025-01-17 07:17:00,late_delivery,10,missing_tags,0,0,,rejected
RET0000183,TXN0001531,M000125,C000014,2025-01-15 08:25:44,size_issue,8,opened,0,0,,rejected
RET0000184,TXN0001532,M000109,C000040,2025-01-17 08:33:07,size_issue,10,opened,1,1,3.0,full_refund
RET0000185,TXN0001538,M000195,C000042,2025-01-08 08:53:40,size_issue,1,unopened,1,1,5.0,full_refund
RET0000186,TXN0001541,M000190,C000003,2025-01-19 09:20:55,size_issue,12,opened,1,1,6.0,full_refund
RET0000187,TXN0001544,M000289,C000030,2025-01-12 09:51:42,changed_mind,5,unopened,0,0,,rejected
RET0000188,TXN0001552,M000159,C000004,2025-01-10 10:09:09,wrong_item,3,unopened,1,1,1.0,full_refund
RET0000189,TXN0001556,M000217,C000005,2025-01-09 10:32:12,size_issue,2,missing_tags,0,0,,rejected
RET0000190,TXN0001560,M000002,C000062,2025-01-12 10:42:03,wrong_item,5,unopened,1,1,3.0,full_refund
RET0000191,TXN0001562,M000047,C000014,2025-01-20 10:49:31,changed_mind,13,unopened,1,1,6.0,full_refund
RET0000192,TXN0001584,M000058,C000006,2025-01-12 12:50:23,not_as_described,5,damaged,0,0,,rejected
RET0000193,TXN0001589,M000395,C000042,2025-01-16 13:23:35,wrong_item,9,missing_tags,0,0,,rejected
RET0000194,TXN0001603,M000363,C000072,2025-01-13 14:14:37,not_as_described,6,missing_tags,0,0,,rejected
RET0000195,TXN0001625,M000156,C000017,2025-01-15 15:57:25,size_issue,8,opened,0,0,,rejected
RET0000196,TXN0001633,M000019,C000022,2025-01-15 16:31:31,other,8,unopened,1,1,6.0,full_refund
RET0000197,TXN0001654,M000139,C000066,2025-01-13 18:15:47,quality_issue,6,opened,1,1,3.0,full_refund
RET0000198,TXN0001656,M000014,C000038,2025-01-12 18:22:50,wrong_item,5,opened,1,1,1.0,full_refund
RET0000199,TXN0001660,M000240,C000042,2025-01-14 18:33:23,quality_issue,7,damaged,0,0,,rejected
RET0000200,TXN0001667,M000037,C000003,2025-01-19 19:01:17,wrong_item,12,opened,1,1,5.0,full_refund
RET0000201,TXN0001669,M000131,C000088,2025-01-11 19:15:36,changed_mind,4,damaged,0,0,,rejected
RET0000202,TXN0001671,M000298,C000064,2025-01-13 19:20:24,size_issue,6,opened,1,1,2.0,full_refund
RET0000203,TXN0001672,M000312,C000003,2025-01-15 19:26:04,quality_issue,8,opened,1,1,4.0,full_refund
RET0000204,TXN0001687,M000247,C000028,2025-01-10 20:20:59,late_delivery,3,unopened,1,1,2.0,full_refund
RET0000205,TXN0001693,M000002,C000135,2025-01-20 20:54:27,quality_issue,13,opened,1,1,2.0,full_refund
RET0000206,TXN0001698,M000178,C000018,2025-01-12 21:33:48,late_delivery,5,damaged,0,0,,rejected
RET0000207,TXN0001700,M000103,C000013,2025-01-17 21:38:45,quality_issue,10,unopened,1,1,2.0,full_refund
RET0000208,TXN0001705,M000062,C000040,2025-01-16 22:13:42,size_issue,9,unopened,1,1,5.0,full_refund
RET0000209,TXN0001707,M000143,C000067,2025-01-20 22:45:56,damaged_item,13,damaged,0,0,,rejected
RET0000210,TXN0001712,M000251,C000018,2025-01-15 23:30:45,quality_issue,8,missing_tags,0,0,,rejected
RET0000211,TXN0001717,M000118,C000015,2025-01-10 23:52:07,size_issue,3,damaged,0,0,,rejected
RET0000212,TXN0001725,M000312,C000003,2025-01-16 03:29:42,wrong_item,8,damaged,0,0,,rejected
RET0000213,TXN0001731,M000344,C000032,2025-01-17 05:57:55,wrong_item,9,missing_tags,0,0,,rejected
RET0000214,TXN0001732,M000103,C000068,2025-01-10 05:59:58,damaged_item,2,opened,1,1,3.0,full_refund
RET0000215,TXN0001733,M000002,C000103,2025-01-09 06:14:24,size_issue,1,unopened,1,1,4.0,full_refund
RET0000216,TXN0001753,M000317,C000050,2025-01-13 08:35:39,quality_issue,5,damaged,0,0,,rejected
RET0000217,TXN0001754,M000098,C000003,2025-01-20 08:37:24,size_issue,12,damaged,0,0,,rejected
RET0000218,TXN0001759,M000363,C000030,2025-01-19 09:07:03,size_issue,11,missing_tags,0,0,,rejected
RET0000219,TXN0001764,M000363,C000046,2025-01-16 09:22:20,size_issue,8,missing_tags,0,0,,rejected
RET0000220,TXN0001768,M000343,C000027,2025-01-09 09:30:35,not_as_described,1,missing_tags,0,0,,rejected
RET0000221,TXN0001780,M000047,C000040,2025-01-19 10:23:06,size_issue,11,damaged,0,0,,rejected
RET0000222,TXN0001787,M000168,C000008,2025-01-14 10:58:07,quality_issue,6,opened,0,0,,rejected
RET0000223,TXN0001800,M000298,C000064,2025-01-11 11:38:26,size_issue,3,opened,1,1,2.0,full_refund
RET0000224,TXN0001815,M000136,C000032,2025-01-12 12:44:11,wrong_item,4,damaged,0,0,,rejected
RET0000225,TXN0001827,M000270,C000030,2025-01-21 13:41:37,size_issue,13,unopened,1,1,4.0,full_refund
RET0000226,TXN0001843,M000342,C000055,2025-01-18 14:45:42,quality_issue,10,damaged,0,0,,rejected
RET0000227,TXN0001850,M000062,C000033,2025-01-12 15:19:18,not_as_described,4,unopened,1,1,3.0,full_refund
RET0000228,TXN0001859,M000289,C000027,2025-01-20 16:07:18,changed_mind,12,damaged,0,0,,rejected
RET0000229,TXN0001864,M000311,C000006,2025-01-19 16:21:39,quality_issue,11,opened,1,1,4.0,full_refund
RET0000230,TXN0001868,M000132,C000001,2025-01-12 16:28:07,size_issue,4,opened,1,1,6.0,full_refund
RET0000231,TXN0001869,M000118,C000002,2025-01-09 16:28:10,size_issue,1,damaged,0,0,,rejected
RET0000232,TXN0001871,M000255,C000038,2025-01-10 16:51:55,size_issue,2,opened,0,0,,rejected
RET0000233,TXN0001875,M000154,C000075,2025-01-18 16:59:39,quality_issue,10,unopened,1,1,3.0,full_refund
RET0000234,TXN0001876,M000032,C000011,2025-01-20 17:04:34,quality_issue,12,opened,1,1,6.0,full_refund
RET0000235,TXN0001890,M000237,C000038,2025-01-21 17:31:25,size_issue,13,opened,1,1,3.0,full_refund
RET0000236,TXN0001986,M000032,C000001,2025-01-17 06:23:12,size_issue,8,opened,0,0,,rejected
RET0000237,TXN0001998,M000283,C000057,2025-01-20 07:28:19,changed_mind,11,damaged,0,0,,rejected
RET0000238,TXN0002008,M000312,C000003,2025-01-12 08:17:03,size_issue,3,missing_tags,0,0,,rejected
RET0000239,TXN0002031,M000196,C000035,2025-01-20 09:41:02,size_issue,11,missing_tags,0,0,,rejected
RET0000240,TXN0002064,M000014,C000030,2025-01-10 12:01:35,size_issue,1,damaged,0,0,,rejected
RET0000241,TXN0002077,M000109,C000006,2025-01-22 13:05:03,other,13,missing_tags,0,0,,rejected
RET0000242,TXN0002084,M000139,C000051,2025-01-10 13:26:55,wrong_item,1,damaged,0,0,,rejected
RET0000243,TXN0002087,M000393,C000010,2025-01-16 13:43:54,size_issue,7,damaged,0,0,,rejected
RET0000244,TXN0002100,M000002,C000013,2025-01-11 14:22:24,quality_issue,2,unopened,1,1,5.0,full_refund
RET0000245,TXN0002102,M000217,C000011,2025-01-14 14:36:27,size_issue,5,unopened,0,0,,rejected
RET0000246,TXN0002103,M000017,C000031,2025-01-10 14:38:06,quality_issue,1,damaged,0,0,,rejected
