merchant_id,hour,transaction_count,transaction_volume,average_transaction_amount,new_device_rate,authentication_failure_rate,high_risk_ip_rate,payment_failure_rate,new_customer_rate,chargeback_rate,dispute_rate,return_rate,baseline_transaction_count,volume_deviation,risk_signal_count,merchant_hourly_anomaly
M000229,2025-01-01 12:00:00,1,1241.07,1241.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.01,0.99,1,0
M000307,2025-01-01 12:00:00,1,431.13,431.13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.43,0.23,1,0
M000356,2025-01-01 12:00:00,1,16636.55,16636.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.89,1.12,1,0
M000008,2025-01-01 13:00:00,1,5804.08,5804.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.34,0.08,1,1
M000035,2025-01-01 13:00:00,1,1033.02,1033.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.62,1.61,1,0
M000042,2025-01-01 13:00:00,1,1221.14,1221.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.89,1.12,1,0
M000137,2025-01-01 13:00:00,1,552.11,552.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.21,0.19,1,0
M000139,2025-01-01 13:00:00,1,963.73,963.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.47,0.22,1,0
M000166,2025-01-01 13:00:00,1,5239.46,5239.46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000175,2025-01-01 13:00:00,1,26905.25,26905.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.07,0.48,1,0
M000217,2025-01-01 13:00:00,1,5735.84,5735.84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.56,0.28,1,0
M000256,2025-01-01 13:00:00,1,320.85,320.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.42,0.18,1,0
M000263,2025-01-01 13:00:00,1,3941.81,3941.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,1,0
M000324,2025-01-01 13:00:00,1,8946.76,8946.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.66,0.38,1,0
M000353,2025-01-01 13:00:00,1,26967.8,26967.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.99,1.01,1,0
M000009,2025-01-01 14:00:00,1,3945.5,3945.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.5,2,0
M000109,2025-01-01 14:00:00,1,1492.34,1492.34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000115,2025-01-01 14:00:00,1,17099.49,17099.49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.5,1,0
M000131,2025-01-01 14:00:00,1,2084.64,2084.64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.09,0.2,1,0
M000150,2025-01-01 14:00:00,1,6923.35,6923.35,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.23,0.45,1,1
M000170,2025-01-01 14:00:00,1,898.92,898.92,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0
M000211,2025-01-01 14:00:00,1,232.24,232.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000240,2025-01-01 14:00:00,1,1590.29,1590.29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0
M000295,2025-01-01 14:00:00,1,1712.5,1712.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,1,0
M000341,2025-01-01 14:00:00,1,895.12,895.12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1
M000346,2025-01-01 14:00:00,1,792.78,792.78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.88,0.26,1,0
M000040,2025-01-01 15:00:00,1,933.12,933.12,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.55,0.65,1,0
M000137,2025-01-01 15:00:00,1,957.88,957.88,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000148,2025-01-01 15:00:00,1,606.85,606.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.33,1,0
M000154,2025-01-01 15:00:00,1,3149.68,3149.68,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.98,0.17,1,0
M000222,2025-01-01 15:00:00,1,324.92,324.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000236,2025-01-01 15:00:00,1,12248.87,12248.87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.17,0.85,1,0
M000307,2025-01-01 15:00:00,1,434.02,434.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000339,2025-01-01 15:00:00,1,3169.98,3169.98,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.32,0.76,1,0
M000343,2025-01-01 15:00:00,1,1188.7,1188.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.93,0.25,1,0
M000350,2025-01-01 15:00:00,1,2272.69,2272.69,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,0
M000364,2025-01-01 15:00:00,1,458.47,458.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.79,0.36,1,0
M000372,2025-01-01 15:00:00,1,923.8,923.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,2.0,1,0
M000398,2025-01-01 15:00:00,1,1636.25,1636.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.5,1,0
M000008,2025-01-01 16:00:00,2,5258.72,2629.36,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,2.0,3,1
M000112,2025-01-01 16:00:00,1,1233.27,1233.27,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.16,0.24,1,0
M000137,2025-01-01 16:00:00,1,803.79,803.79,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,0
M000139,2025-01-01 16:00:00,1,1621.4,1621.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,1
M000147,2025-01-01 16:00:00,1,430.31,430.31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000151,2025-01-01 16:00:00,1,2497.05,2497.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,0.71,1,0
M000166,2025-01-01 16:00:00,1,7497.71,7497.71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000218,2025-01-01 16:00:00,1,27201.27,27201.27,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.77,1,0
M000261,2025-01-01 16:00:00,1,391.84,391.84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.88,0.2,1,0
M000282,2025-01-01 16:00:00,1,2425.51,2425.51,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.84,0.54,1,0
M000283,2025-01-01 16:00:00,1,2546.33,2546.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000346,2025-01-01 16:00:00,1,793.78,793.78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000002,2025-01-01 17:00:00,1,16785.31,16785.31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000003,2025-01-01 17:00:00,1,1044.59,1044.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000005,2025-01-01 17:00:00,1,12893.89,12893.89,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000012,2025-01-01 17:00:00,1,5280.64,5280.64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.74,1.35,1,0
M000020,2025-01-01 17:00:00,1,1587.48,1587.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.34,0.75,1,0
M000036,2025-01-01 17:00:00,1,1920.76,1920.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.06,0.49,1,0
M000088,2025-01-01 17:00:00,1,5183.47,5183.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.22,0.82,1,0
M000132,2025-01-01 17:00:00,1,6431.01,6431.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.92,0.34,1,0
M000137,2025-01-01 17:00:00,1,444.17,444.17,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,1
M000143,2025-01-01 17:00:00,1,4866.33,4866.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.1,0.2,1,0
M000225,2025-01-01 17:00:00,1,3197.77,3197.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.38,0.72,1,0
M000309,2025-01-01 17:00:00,1,18261.76,18261.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.87,1.15,1,1
M000319,2025-01-01 17:00:00,1,5758.56,5758.56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.32,0.3,1,0
M000324,2025-01-01 17:00:00,1,4299.26,4299.26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,1
M000379,2025-01-01 17:00:00,1,9924.56,9924.56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.96,0.51,1,0
M000387,2025-01-01 17:00:00,1,1640.06,1640.06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,0
M000005,2025-01-01 18:00:00,1,18762.24,18762.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000009,2025-01-01 18:00:00,1,17559.4,17559.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.67,1,0
M000029,2025-01-01 18:00:00,1,905.03,905.03,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.08,0.32,1,0
M000090,2025-01-01 18:00:00,1,2070.53,2070.53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.49,0.67,1,0
M000131,2025-01-01 18:00:00,1,1538.12,1538.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000189,2025-01-01 18:00:00,1,171.57,171.57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000217,2025-01-01 18:00:00,1,2978.22,2978.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000230,2025-01-01 18:00:00,1,8764.54,8764.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1
M000252,2025-01-01 18:00:00,1,2896.28,2896.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.73,0.15,1,0
M000261,2025-01-01 18:00:00,1,665.25,665.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000287,2025-01-01 18:00:00,1,520.59,520.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.88,0.15,1,0
M000330,2025-01-01 18:00:00,2,5476.49,2738.24,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,3.33,0.6,2,0
M000361,2025-01-01 18:00:00,1,2348.9,2348.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.57,0.28,1,0
M000379,2025-01-01 18:00:00,1,8530.89,8530.89,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000003,2025-01-01 19:00:00,1,2361.39,2361.39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000008,2025-01-01 19:00:00,1,3556.6,3556.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.67,1,0
M000061,2025-01-01 19:00:00,1,1433.32,1433.32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.12,0.16,1,0
M000071,2025-01-01 19:00:00,1,9432.09,9432.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,1,0
M000134,2025-01-01 19:00:00,1,922.61,922.61,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.76,0.27,1,0
M000237,2025-01-01 19:00:00,1,1149.79,1149.79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.97,0.25,1,0
M000241,2025-01-01 19:00:00,1,6205.15,6205.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,1,0
M000256,2025-01-01 19:00:00,1,996.7,996.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000302,2025-01-01 19:00:00,1,1228.26,1228.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,0.56,1,0
M000320,2025-01-01 19:00:00,1,1662.71,1662.71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.75,0.57,1,0
M000346,2025-01-01 19:00:00,2,1360.37,680.18,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.0,2,0
M000369,2025-01-01 19:00:00,1,1037.1,1037.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0
M000380,2025-01-01 19:00:00,1,2591.39,2591.39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.77,0.27,1,0
M000003,2025-01-01 20:00:00,1,3160.25,3160.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
M000008,2025-01-01 20:00:00,1,6366.29,6366.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.33,0.75,1,0
