evidence_id,dispute_id,transaction_id,evidence_type,applicability_status,available,required,relevant,quality_score,source_system,evidence_timestamp
EVD0000040,DSP000007,TXN0001350,shipping_label,APPLICABLE,1,0,0,0.6384,shipping,2026-02-02
EVD0000041,DSP000007,TXN0001350,tracking_number,UNAVAILABLE,0,0,0,0.0,support,2026-02-16
EVD0000042,DSP000007,TXN0001350,delivery_confirmation,UNAVAILABLE,0,1,1,0.0,payment_gateway,2026-02-10
EVD0000043,DSP000008,TXN0000211,order_confirmation,UNAVAILABLE,0,1,1,0.0,payment_gateway,2025-11-20
EVD0000044,DSP000008,TXN0000211,invoice,UNAVAILABLE,0,0,0,0.0,shipping,2025-12-05
EVD0000045,DSP000008,TXN0000211,customer_communication,UNAVAILABLE,0,1,1,0.0,payment_gateway,2025-11-27
EVD0000046,DSP000008,TXN0000211,shipping_label,UNAVAILABLE,0,0,0,0.0,crm,2025-12-10
EVD0000047,DSP000008,TXN0000211,tracking_number,APPLICABLE,1,0,0,0.55,erp,2025-12-08
EVD0000048,DSP000008,TXN0000211,delivery_confirmation,APPLICABLE,1,1,1,0.6054,payment_gateway,2025-12-09
EVD0000049,DSP000009,TXN0001790,order_confirmation,UNAVAILABLE,0,1,1,0.0,shipping,2025-12-29
EVD0000050,DSP000009,TXN0001790,invoice,UNAVAILABLE,0,1,1,0.0,support,2025-12-21
EVD0000051,DSP000009,TXN0001790,customer_communication,UNAVAILABLE,0,1,1,0.0,shipping,2025-12-19
EVD0000052,DSP000009,TXN0001790,shipping_label,UNAVAILABLE,0,0,0,0.0,payment_gateway,2025-12-15
EVD0000053,DSP000009,TXN0001790,tracking_number,APPLICABLE,1,0,0,0.6701,shipping,2025-12-19
EVD0000054,DSP000009,TXN0001790,delivery_confirmation,UNAVAILABLE,0,1,1,0.0,crm,2025-12-31
EVD0000055,DSP000010,TXN0000398,order_confirmation,APPLICABLE,1,1,1,0.6482,shipping,2025-02-25
EVD0000056,DSP000010,TXN0000398,invoice,UNAVAILABLE,0,1,1,0.0,crm,2025-02-22
EVD0000057,DSP000010,TXN0000398,customer_communication,UNAVAILABLE,0,1,1,0.0,support,2025-02-15
EVD0000058,DSP000010,TXN0000398,shipping_label,UNAVAILABLE,0,0,0,0.0,support,2025-02-24
EVD0000059,DSP000010,TXN0000398,tracking_number,APPLICABLE,1,0,0,0.5789,shipping,2025-02-23
EVD0000060,DSP000010,TXN0000398,delivery_confirmation,APPLICABLE,1,1,1,0.55,shipping,2025-02-13
EVD0000061,DSP000011,TXN0001596,order_confirmation,UNAVAILABLE,0,1,1,0.0,shipping,2025-08-06
EVD0000062,DSP000011,TXN0001596,invoice,UNAVAILABLE,0,0,0,0.0,support,2025-08-10
EVD0000063,DSP000011,TXN0001596,customer_communication,UNAVAILABLE,0,1,1,0.0,shipping,2025-08-14
EVD0000064,DSP000011,TXN0001596,shipping_label,UNAVAILABLE,0,0,0,0.0,crm,2025-07-29
EVD0000065,DSP000011,TXN0001596,tracking_number,UNAVAILABLE,0,0,0,0.0,erp,2025-07-21
EVD0000066,DSP000011,TXN0001596,delivery_confirmation,UNAVAILABLE,0,1,1,0.0,support,2025-07-28
EVD0000067,DSP000012,TXN0001677,order_confirmation,UNAVAILABLE,0,1,1,0.0,erp,2025-04-22
EVD0000068,DSP000012,TXN0001677,invoice,APPLICABLE,1,0,1,0.6049,crm,2025-04-04
EVD0000069,DSP000012,TXN0001677,customer_communication,UNAVAILABLE,0,1,1,0.0,shipping,2025-04-04
EVD0000070,DSP000012,TXN0001677,shipping_label,UNAVAILABLE,0,0,0,0.0,shipping,2025-04-28
EVD0000071,DSP000012,TXN0001677,tracking_number,APPLICABLE,1,0,0,0.5952,erp,2025-04-23
EVD0000072,DSP000012,TXN0001677,delivery_confirmation,UNAVAILABLE,0,1,1,0.0,crm,2025-04-13
EVD0000073,DSP000013,TXN0000034,order_confirmation,APPLICABLE,1,1,1,0.6529,erp,2026-01-18
EVD0000074,DSP000013,TXN0000034,invoice,APPLICABLE,1,1,1,0.55,payment_gateway,2026-01-05
EVD0000075,DSP000013,TXN0000034,customer_communication,APPLICABLE,1,1,1,0.6849,payment_gateway,2026-01-20
EVD0000076,DSP000013,TXN0000034,shipping_label,UNAVAILABLE,0,0,0,0.0,erp,2026-01-17
EVD0000077,DSP000013,TXN0000034,tracking_number,UNAVAILABLE,0,0,0,0.0,erp,2026-01-25
EVD0000078,DSP000013,TXN0000034,delivery_confirmation,UNAVAILABLE,0,0,0,0.0,crm,2026-01-25
EVD0000079,DSP000014,TXN0002146,order_confirmation,APPLICABLE,1,1,1,0.98,shipping,2025-05-01
EVD0000080,DSP000014,TXN0002146,invoice,APPLICABLE,1,0,0,0.98,shipping,2025-04-25
EVD0000081,DSP000014,TXN0002146,customer_communication,APPLICABLE,1,0,1,0.9042,payment_gateway,2025-04-22
EVD0000082,DSP000014,TXN0002146,shipping_label,APPLICABLE,1,1,1,0.9511,erp,2025-04-27
EVD0000083,DSP000014,TXN0002146,tracking_number,APPLICABLE,1,1,1,0.98,erp,2025-04-12
EVD0000084,DSP000014,TXN0002146,delivery_confirmation,APPLICABLE,1,1,1,0.98,shipping,2025-04-26
EVD0000085,DSP000015,TXN0002518,order_confirmation,APPLICABLE,1,1,1,0.98,crm,2026-01-17
EVD0000086,DSP000015,TXN0002518,invoice,UNAVAILABLE,0,0,0,0.0,payment_gateway,2026-01-30
EVD0000087,DSP000015,TXN0002518,customer_communication,APPLICABLE,1,0,0,0.98,shipping,2026-01-16
EVD0000088,DSP000015,TXN0002518,shipping_label,UNAVAILABLE,0,1,1,0.0,support,2026-01-17
EVD0000089,DSP000015,TXN0002518,tracking_number,APPLICABLE,1,1,1,0.98,payment_gateway,2026-02-01
EVD0000090,DSP000015,TXN0002518,delivery_confirmation,APPLICABLE,1,1,1,0.8856,erp,2026-01-27
EVD0000091,DSP000016,TXN0002475,order_confirmation,APPLICABLE,1,1,1,0.98,payment_gateway,2025-10-15
EVD0000092,DSP000016,TXN0002475,invoice,APPLICABLE,1,1,1,0.7625,erp,2025-09-26
EVD0000093,DSP000016,TXN0002475,customer_communication,APPLICABLE,1,0,1,0.9614,support,2025-10-01
EVD0000094,DSP000016,TXN0002475,shipping_label,APPLICABLE,1,0,1,0.9778,erp,2025-10-07
EVD0000095,DSP000016,TXN0002475,tracking_number,APPLICABLE,1,0,1,0.98,shipping,2025-10-14
EVD0000096,DSP000016,TXN0002475,delivery_confirmation,APPLICABLE,1,0,0,0.98,shipping,2025-10-20
EVD0000097,DSP000017,TXN0004806,order_confirmation,APPLICABLE,1,1,1,0.98,support,2025-12-03
EVD0000098,DSP000017,TXN0004806,invoice,APPLICABLE,1,0,1,0.98,erp,2025-11-03
EVD0000099,DSP000017,TXN0004806,customer_communication,APPLICABLE,1,1,1,0.98,erp,2025-11-09
EVD0000100,DSP000017,TXN0004806,shipping_label,APPLICABLE,1,0,0,0.98,support,2025-11-27
EVD0000101,DSP000017,TXN0004806,tracking_number,APPLICABLE,1,0,1,0.98,payment_gateway,2025-12-02
EVD0000102,DSP000017,TXN0004806,delivery_confirmation,APPLICABLE,1,1,1,0.98,shipping,2025-11-30
EVD0000103,DSP000018,TXN0003169,order_confirmation,APPLICABLE,1,1,1,0.8626,payment_gateway,2025-07-24
EVD0000104,DSP000018,TXN0003169,invoice,APPLICABLE,1,0,0,0.9087,support,2025-07-14
EVD0000105,DSP000018,TXN0003169,customer_communication,UNAVAILABLE,0,0,0,0.0,crm,2025-07-15
EVD0000106,DSP000018,TXN0003169,shipping_label,APPLICABLE,1,1,1,0.98,payment_gateway,2025-07-11
EVD0000107,DSP000018,TXN0003169,tracking_number,APPLICABLE,1,1,1,0.7848,crm,2025-07-08
EVD0000108,DSP000018,TXN0003169,delivery_confirmation,APPLICABLE,1,1,1,0.98,crm,2025-07-22
EVD0000109,DSP000019,TXN0001902,order_confirmation,APPLICABLE,1,1,1,0.98,erp,2025-08-19
EVD0000110,DSP000019,TXN0001902,invoice,APPLICABLE,1,1,1,0.98,shipping,2025-08-17
EVD0000111,DSP000019,TXN0001902,customer_communication,APPLICABLE,1,1,1,0.888,erp,2025-08-26
EVD0000112,DSP000019,TXN0001902,shipping_label,APPLICABLE,1,0,0,0.9658,support,2025-08-03
EVD0000113,DSP000019,TXN0001902,tracking_number,UNAVAILABLE,0,0,0,0.0,shipping,2025-08-04
EVD0000114,DSP000019,TXN0001902,delivery_confirmation,APPLICABLE,1,0,1,0.98,payment_gateway,2025-08-14
EVD0000115,DSP000020,TXN0005241,order_confirmation,APPLICABLE,1,1,1,0.7611,crm,2025-06-21
EVD0000116,DSP000020,TXN0005241,invoice,APPLICABLE,1,0,1,0.98,crm,2025-06-24
EVD0000117,DSP000020,TXN0005241,customer_communication,APPLICABLE,1,0,1,0.9168,erp,2025-06-26
EVD0000118,DSP000020,TXN0005241,shipping_label,UNAVAILABLE,0,1,1,0.0,erp,2025-06-16
EVD0000119,DSP000020,TXN0005241,tracking_number,APPLICABLE,1,1,1,0.98,payment_gateway,2025-05-31
EVD0000120,DSP000020,TXN0005241,delivery_confirmation,APPLICABLE,1,1,1,0.8835,support,2025-06-06
EVD0000121,DSP000021,TXN0003543,order_confirmation,APPLICABLE,1,1,1,0.98,shipping,2025-06-18
EVD0000122,DSP000021,TXN0003543,invoice,APPLICABLE,1,1,1,0.98,payment_gateway,2025-06-14
EVD0000123,DSP000021,TXN0003543,customer_communication,APPLICABLE,1,0,0,0.98,shipping,2025-06-08
EVD0000124,DSP000021,TXN0003543,shipping_label,APPLICABLE,1,0,0,0.9061,support,2025-06-19
EVD0000125,DSP000021,TXN0003543,tracking_number,UNAVAILABLE,0,0,0,0.0,erp,2025-06-21
EVD0000126,DSP000021,TXN0003543,delivery_confirmation,APPLICABLE,1,0,0,0.98,crm,2025-06-23
EVD0000127,DSP000022,TXN0003253,order_confirmation,UNAVAILABLE,0,1,1,0.0,crm,2026-01-17
EVD0000128,DSP000022,TXN0003253,invoice,APPLICABLE,1,0,1,0.98,payment_gateway,2026-01-11
EVD0000129,DSP000022,TXN0003253,customer_communication,APPLICABLE,1,0,0,0.7818,payment_gateway,2026-01-01
EVD0000130,DSP000022,TXN0003253,shipping_label,APPLICABLE,1,1,1,0.98,payment_gateway,2026-01-15
EVD0000131,DSP000022,TXN0003253,tracking_number,APPLICABLE,1,1,1,0.98,payment_gateway,2026-01-08
EVD0000132,DSP000022,TXN0003253,delivery_confirmation,APPLICABLE,1,1,1,0.8242,erp,2026-01-01
EVD0000133,DSP000023,TXN0005112,order_confirmation,APPLICABLE,1,1,1,0.98,shipping,2025-04-09
EVD0000134,DSP000023,TXN0005112,invoice,APPLICABLE,1,1,1,0.9431,shipping,2025-04-06
EVD0000135,DSP000023,TXN0005112,customer_communication,APPLICABLE,1,1,1,0.98,crm,2025-04-13
EVD0000136,DSP000023,TXN0005112,shipping_label,APPLICABLE,1,0,1,0.8529,erp,2025-04-08
EVD0000137,DSP000023,TXN0005112,tracking_number,APPLICABLE,1,0,0,0.8556,shipping,2025-04-28
EVD0000138,DSP000023,TXN0005112,delivery_confirmation,APPLICABLE,1,0,0,0.7491,crm,2025-04-12
EVD0000139,DSP000024,TXN0002298,order_confirmation,APPLICABLE,1,1,1,0.98,shipping,2025-11-19
EVD0000140,DSP000024,TXN0002298,invoice,APPLICABLE,1,0,0,0.8075,crm,2025-10-30
EVD0000141,DSP000024,TXN0002298,customer_communication,APPLICABLE,1,0,0,0.98,payment_gateway,2025-11-14
EVD0000142,DSP000024,TXN0002298,shipping_label,APPLICABLE,1,1,1,0.98,support,2025-11-03
EVD0000143,DSP000024,TXN0002298,tracking_number,APPLICABLE,1,1,1,0.8766,support,2025-11-07
EVD0000144,DSP000024,TXN0002298,delivery_confirmation,APPLICABLE,1,1,1,0.98,crm,2025-11-05
EVD0000145,DSP000025,TXN0005537,order_confirmation,UNAVAILABLE,0,1,1,0.0,payment_gateway,2025-12-27
EVD0000146,DSP000025,TXN0005537,invoice,UNAVAILABLE,0,0,0,0.0,erp,2025-12-27
EVD0000147,DSP000025,TXN0005537,customer_communication,APPLICABLE,1,1,1,0.7744,erp,2025-12-30
EVD0000148,DSP000025,TXN0005537,shipping_label,UNAVAILABLE,0,0,0,0.0,crm,2025-12-10
EVD0000149,DSP000025,TXN0005537,tracking_number,APPLICABLE,1,0,0,0.835,shipping,2025-12-30
EVD0000150,DSP000025,TXN0005537,delivery_confirmation,APPLICABLE,1,1,1,0.7502,payment_gateway,2025-12-14
EVD0000151,DSP000026,TXN0002274,order_confirmation,APPLICABLE,1,1,1,0.8663,erp,2025-03-03
EVD0000152,DSP000026,TXN0002274,invoice,APPLICABLE,1,0,0,0.98,payment_gateway,2025-03-10
EVD0000153,DSP000026,TXN0002274,customer_communication,APPLICABLE,1,0,0,0.9681,shipping,2025-02-26
EVD0000154,DSP000026,TXN0002274,shipping_label,APPLICABLE,1,1,1,0.98,crm,2025-03-14
EVD0000155,DSP000026,TXN0002274,tracking_number,APPLICABLE,1,1,1,0.98,crm,2025-03-10
EVD0000156,DSP000026,TXN0002274,delivery_confirmation,APPLICABLE,1,1,1,0.8455,support,2025-03-26
EVD0000157,DSP000027,TXN0007508,order_confirmation,APPLICABLE,1,1,1,0.8175,payment_gateway,2025-11-13
EVD0000158,DSP000027,TXN0007508,invoice,APPLICABLE,1,1,1,0.7903,erp,2025-11-21
EVD0000159,DSP000027,TXN0007508,customer_communication,APPLICABLE,1,1,1,0.98,support,2025-11-11
EVD0000160,DSP000027,TXN0007508,access_log,UNAVAILABLE,0,1,1,0.0,support,2025-11-11
EVD0000161,DSP000027,TXN0007508,service_record,APPLICABLE,1,0,0,0.98,erp,2025-10-26
EVD0000162,DSP000027,TXN0007508,cancellation_record,APPLICABLE,1,1,1,0.8635,shipping,2025-11-19
EVD0000163,DSP000028,TXN0006703,order_confirmation,APPLICABLE,1,1,1,0.9354,crm,2025-02-08
EVD0000164,DSP000028,TXN0006703,invoice,APPLICABLE,1,1,1,0.7675,payment_gateway,2025-02-09
EVD0000165,DSP000028,TXN0006703,customer_communication,APPLICABLE,1,1,1,0.8128,payment_gateway,2025-01-20
EVD0000166,DSP000028,TXN0006703,access_log,APPLICABLE,1,1,1,0.9326,crm,2025-01-23
EVD0000167,DSP000028,TXN0006703,service_record,APPLICABLE,1,0,1,0.98,payment_gateway,2025-01-28
EVD0000168,DSP000028,TXN0006703,cancellation_record,APPLICABLE,1,1,1,0.69,support,2025-01-19
EVD0000169,DSP000029,TXN0008190,order_confirmation,APPLICABLE,1,1,1,0.98,payment_gateway,2025-06-04
EVD0000170,DSP000029,TXN0008190,invoice,APPLICABLE,1,1,1,0.9619,support,2025-06-06
EVD0000171,DSP000029,TXN0008190,customer_communication,APPLICABLE,1,1,1,0.917,shipping,2025-05-25
EVD0000172,DSP000029,TXN0008190,access_log,UNAVAILABLE,0,1,1,0.0,erp,2025-05-13
EVD0000173,DSP000029,TXN0008190,service_record,APPLICABLE,1,0,0,0.8675,crm,2025-05-31
EVD0000174,DSP000029,TXN0008190,cancellation_record,APPLICABLE,1,1,1,0.7904,support,2025-05-27
EVD0000175,DSP000030,TXN0005721,order_confirmation,APPLICABLE,1,1,1,0.7652,support,2025-05-11
EVD0000176,DSP000030,TXN0005721,invoice,APPLICABLE,1,1,1,0.98,payment_gateway,2025-05-22
EVD0000177,DSP000030,TXN0005721,customer_communication,UNAVAILABLE,0,1,1,0.0,crm,2025-05-20
EVD0000178,DSP000030,TXN0005721,access_log,APPLICABLE,1,1,1,0.98,crm,2025-05-29
EVD0000179,DSP000030,TXN0005721,service_record,APPLICABLE,1,0,0,0.98,support,2025-05-16
EVD0000180,DSP000030,TXN0005721,cancellation_record,APPLICABLE,1,0,0,0.98,support,2025-05-18
EVD0000181,DSP000031,TXN0005924,order_confirmation,APPLICABLE,1,1,1,0.8335,support,2025-09-17
EVD0000182,DSP000031,TXN0005924,invoice,UNAVAILABLE,0,1,1,0.0,crm,2025-09-01
EVD0000183,DSP000031,TXN0005924,customer_communication,APPLICABLE,1,1,1,0.98,payment_gateway,2025-09-04
EVD0000184,DSP000031,TXN0005924,access_log,APPLICABLE,1,1,1,0.9313,support,2025-09-17
EVD0000185,DSP000031,TXN0005924,service_record,UNAVAILABLE,0,0,0,0.0,shipping,2025-09-22
EVD0000186,DSP000031,TXN0005924,cancellation_record,UNAVAILABLE,0,1,1,0.0,erp,2025-09-20
EVD0000187,DSP000032,TXN0009056,order_confirmation,APPLICABLE,1,1,1,0.98,crm,2025-02-01
EVD0000188,DSP000032,TXN0009056,invoice,UNAVAILABLE,0,1,1,0.0,payment_gateway,2025-02-02
EVD0000189,DSP000032,TXN0009056,customer_communication,UNAVAILABLE,0,1,1,0.0,shipping,2025-01-28
EVD0000190,DSP000032,TXN0009056,access_log,UNAVAILABLE,0,1,1,0.0,erp,2025-01-30
EVD0000191,DSP000032,TXN0009056,service_record,APPLICABLE,1,0,0,0.6784,support,2025-02-06
EVD0000192,DSP000032,TXN0009056,cancellation_record,APPLICABLE,1,1,1,0.7305,erp,2025-02-14
EVD0000193,DSP000033,TXN0007668,order_confirmation,APPLICABLE,1,1,1,0.98,payment_gateway,2025-10-19
EVD0000194,DSP000033,TXN0007668,invoice,APPLICABLE,1,1,1,0.8187,support,2025-09-28
EVD0000195,DSP000033,TXN0007668,customer_communication,APPLICABLE,1,1,1,0.98,support,2025-10-17
EVD0000196,DSP000033,TXN0007668,access_log,APPLICABLE,1,0,0,0.7137,erp,2025-10-15
EVD0000197,DSP000033,TXN0007668,service_record,APPLICABLE,1,0,0,0.8852,support,2025-10-27
EVD0000198,DSP000033,TXN0007668,cancellation_record,APPLICABLE,1,1,1,0.98,support,2025-10-20
EVD0000199,DSP000034,TXN0008929,order_confirmation,APPLICABLE,1,1,1,0.98,support,2025-11-07
EVD0000200,DSP000034,TXN0008929,invoice,APPLICABLE,1,1,1,0.98,shipping,2025-11-02
EVD0000201,DSP000034,TXN0008929,customer_communication,APPLICABLE,1,1,1,0.7164,shipping,2025-10-12
EVD0000202,DSP000034,TXN0008929,access_log,APPLICABLE,1,1,1,0.8831,support,2025-11-07
EVD0000203,DSP000034,TXN0008929,service_record,APPLICABLE,1,0,1,0.9141,payment_gateway,2025-10-20
EVD0000204,DSP000034,TXN0008929,cancellation_record,APPLICABLE,1,1,1,0.8054,erp,2025-10-22
EVD0000205,DSP000035,TXN0006012,order_confirmation,APPLICABLE,1,1,1,0.98,erp,2025-02-25
EVD0000206,DSP000035,TXN0006012,invoice,UNAVAILABLE,0,1,1,0.0,support,2025-03-05
EVD0000207,DSP000035,TXN0006012,customer_communication,APPLICABLE,1,1,1,0.913,crm,2025-03-09
EVD0000208,DSP000035,TXN0006012,access_log,APPLICABLE,1,1,1,0.7937,support,2025-02-22
EVD0000209,DSP000035,TXN0006012,service_record,APPLICABLE,1,0,0,0.98,erp,2025-03-01
EVD0000210,DSP000035,TXN0006012,cancellation_record,APPLICABLE,1,1,1,0.98,shipping,2025-03-17
EVD0000211,DSP000036,TXN0006806,order_confirmation,APPLICABLE,1,1,1,0.98,shipping,2025-02-13
EVD0000212,DSP000036,TXN0006806,invoice,UNAVAILABLE,0,1,1,0.0,support,2025-01-31
EVD0000213,DSP000036,TXN0006806,customer_communication,UNAVAILABLE,0,1,1,0.0,shipping,2025-02-15
EVD0000214,DSP000036,TXN0006806,access_log,APPLICABLE,1,0,0,0.9511,payment_gateway,2025-01-27
EVD0000215,DSP000036,TXN0006806,service_record,APPLICABLE,1,0,0,0.9,crm,2025-02-17
EVD0000216,DSP000036,TXN0006806,cancellation_record,APPLICABLE,1,1,1,0.8502,shipping,2025-01-28
EVD0000217,DSP000037,TXN0006304,order_confirmation,UNAVAILABLE,0,1,1,0.0,support,2025-06-30
EVD0000218,DSP000037,TXN0006304,invoice,APPLICABLE,1,1,1,0.98,crm,2025-07-01
EVD0000219,DSP000037,TXN0006304,customer_communication,UNAVAILABLE,0,1,1,0.0,support,2025-06-17
EVD0000220,DSP000037,TXN0006304,access_log,APPLICABLE,1,1,1,0.8846,support,2025-06-04
EVD0000221,DSP000037,TXN0006304,service_record,APPLICABLE,1,0,1,0.9094,support,2025-06-20
EVD0000222,DSP000037,TXN0006304,cancellation_record,UNAVAILABLE,0,1,1,0.0,crm,2025-06-18
EVD0000223,DSP000038,TXN0008630,order_confirmation,UNAVAILABLE,0,1,1,0.0,shipping,2025-03-11
EVD0000224,DSP000038,TXN0008630,invoice,APPLICABLE,1,0,0,0.98,support,2025-02-28
EVD0000225,DSP000038,TXN0008630,customer_communication,UNAVAILABLE,0,1,1,0.0,support,2025-03-02
EVD0000226,DSP000038,TXN0008630,access_log,APPLICABLE,1,1,1,0.9431,payment_gateway,2025-03-26
EVD0000227,DSP000038,TXN0008630,service_record,APPLICABLE,1,1,1,0.98,support,2025-03-02
EVD0000228,DSP000038,TXN0008630,cancellation_record,APPLICABLE,1,0,0,0.8631,crm,2025-03-06
EVD0000229,DSP000039,TXN0009249,order_confirmation,APPLICABLE,1,1,1,0.725,payment_gateway,2026-02-01
EVD0000230,DSP000039,TXN0009249,invoice,APPLICABLE,1,0,0,0.8443,shipping,2026-01-05
EVD0000231,DSP000039,TXN0009249,customer_communication,APPLICABLE,1,1,1,0.9207,payment_gateway,2026-01-13
EVD0000232,DSP000039,TXN0009249,access_log,APPLICABLE,1,1,1,0.98,crm,2026-02-01
EVD0000233,DSP000039,TXN0009249,service_record,APPLICABLE,1,1,1,0.98,shipping,2026-01-20
EVD0000234,DSP000039,TXN0009249,cancellation_record,APPLICABLE,1,0,0,0.98,erp,2026-01-31
EVD0000235,DSP000040,TXN0006071,order_confirmation,UNAVAILABLE,0,1,1,0.0,support,2025-07-27
EVD0000236,DSP000040,TXN0006071,invoice,UNAVAILABLE,0,1,1,0.0,crm,2025-08-14
EVD0000237,DSP000040,TXN0006071,customer_communication,APPLICABLE,1,1,1,0.9677,crm,2025-07-22
EVD0000238,DSP000040,TXN0006071,access_log,APPLICABLE,1,1,1,0.98,erp,2025-08-03
EVD0000239,DSP000040,TXN0006071,service_record,UNAVAILABLE,0,0,0,0.0,support,2025-07-24
EVD0000240,DSP000040,TXN0006071,cancellation_record,APPLICABLE,1,0,0,0.9097,erp,2025-08-21
EVD0000241,DSP000041,TXN0006224,order_confirmation,UNAVAILABLE,0,1,1,0.0,shipping,2025-09-03
EVD0000242,DSP000041,TXN0006224,invoice,APPLICABLE,1,1,1,0.98,payment_gateway,2025-09-13
EVD0000243,DSP000041,TXN0006224,customer_communication,APPLICABLE,1,1,1,0.98,shipping,2025-09-08
EVD0000244,DSP000041,TXN0006224,access_log,APPLICABLE,1,1,1,0.8426,crm,2025-09-06
EVD0000245,DSP000041,TXN0006224,service_record,APPLICABLE,1,0,0,0.7882,support,2025-08-30
EVD0000246,DSP000041,TXN0006224,cancellation_record,APPLICABLE,1,1,1,0.98,shipping,2025-09-06
EVD0000247,DSP000042,TXN0005615,order_confirmation,APPLICABLE,1,1,1,0.942,payment_gateway,2025-02-12
EVD0000248,DSP000042,TXN0005615,invoice,APPLICABLE,1,1,1,0.7254,shipping,2025-02-12
