dispute_id,transaction_id,merchant_id,customer_id,network,reason_code,reason_description,dispute_created_at,dispute_amount,contest_fee,operational_review_cost,respond_by,days_to_deadline,merchant_action,dispute_outcome,resolution_date
DSP000015,TXN0001731,M000002,CUS0001538,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2026-01-19,1399,613,206,2026-01-26,7,contested,won,2026-02-25
DSP000016,TXN0003834,M000002,,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-08-11,695,0,0,2025-08-27,16,accepted,accepted_refunded,
DSP000017,TXN0001454,M000002,,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-08-10,849,0,0,2025-08-17,7,accepted,accepted_refunded,
DSP000018,TXN0000748,M000002,CUS0000744,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-09-20,899,0,0,2025-09-30,10,accepted,accepted_refunded,
DSP000019,TXN0003015,M000002,CUS0001464,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-07-14,1045,717,280,2025-08-02,19,contested,lost,2025-08-27
DSP000020,TXN0002354,M000002,,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-05-03,1995,638,250,2025-05-14,11,contested,won,2025-05-28
DSP000021,TXN0000834,M000002,,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-07-22,499,0,0,2025-08-10,19,accepted,accepted_refunded,
DSP000022,TXN0002560,M000002,CUS0000963,RuPay,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-11-08,1649,435,262,2025-11-15,7,contested,lost,2025-12-13
DSP000023,TXN0001181,M000002,CUS0001329,RuPay,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-06-07,399,650,278,2025-06-20,13,contested,won,2025-07-15
DSP000024,TXN0003217,M000002,,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-10-01,2545,588,251,2025-10-21,20,contested,lost,2025-11-10
DSP000025,TXN0006474,M000003,,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-08-19,499,0,0,2025-09-08,20,accepted,accepted_refunded,
DSP000026,TXN0007363,M000003,CUS0001822,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-10-28,9999,613,242,2025-11-04,7,contested,lost,2025-12-04
DSP000027,TXN0008218,M000003,,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-05-03,499,0,0,2025-05-15,12,accepted,accepted_refunded,
DSP000028,TXN0006927,M000003,,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-04-23,499,715,202,2025-05-06,13,contested,won,2025-05-24
DSP000029,TXN0008300,M000003,CUS0002756,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-02-15,499,0,0,2025-03-05,18,accepted,accepted_refunded,
DSP000030,TXN0007785,M000003,,Visa,DUPLICATE_TRANSACTION,Duplicate Transaction,2025-07-18,2999,674,267,2025-08-06,19,contested,won,2025-08-04
DSP000031,TXN0008189,M000003,,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-11-09,499,739,283,2025-11-20,11,contested,won,2025-11-27
DSP000032,TXN0007256,M000003,CUS0002812,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-03-25,499,495,247,2025-04-14,20,contested,lost,2025-04-23
DSP000033,TXN0007630,M000003,,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-11-11,2999,0,0,2025-11-18,7,accepted,accepted_refunded,
DSP000034,TXN0006555,M000003,,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-03-20,14999,0,0,2025-03-30,10,accepted,accepted_refunded,
DSP000035,TXN0006472,M000003,CUS0002516,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-12-20,9999,636,204,2026-01-10,21,contested,lost,2026-02-02
DSP000036,TXN0007406,M000003,CUS0002253,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-02-26,2999,423,207,2025-03-06,8,contested,won,2025-04-02
DSP000037,TXN0007739,M000003,CUS0002311,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2026-01-18,499,700,294,2026-02-07,20,contested,lost,2026-02-13
DSP000038,TXN0005692,M000003,CUS0002531,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-03-21,2999,529,282,2025-04-11,21,contested,lost,2025-04-15
DSP000039,TXN0007490,M000003,CUS0001914,Mastercard,SERVICE_NOT_RENDERED,Service Not Rendered,2025-12-21,499,499,242,2026-01-10,20,contested,lost,2026-01-14
DSP000040,TXN0005132,M000003,CUS0001818,RuPay,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-11-20,499,0,0,2025-11-27,7,accepted,accepted_refunded,
DSP000041,TXN0008265,M000003,CUS0002951,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-09-29,499,469,157,2025-10-19,20,contested,lost,2025-11-12
DSP000042,TXN0007652,M000003,CUS0002820,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-08-07,2999,517,218,2025-08-15,8,contested,lost,2025-08-26
DSP000043,TXN0007115,M000003,CUS0002494,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-04-26,2999,696,252,2025-05-04,8,contested,won,2025-05-31
DSP000044,TXN0007457,M000003,CUS0002432,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-08-15,14999,0,0,2025-08-29,14,accepted,accepted_refunded,
DSP000045,TXN0008948,M000004,CUS0003262,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-04-25,9999,658,274,2025-05-09,14,contested,won,2025-05-21
DSP000046,TXN0008492,M000004,,RuPay,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-10-01,1499,616,162,2025-10-13,12,contested,won,2025-10-24
DSP000047,TXN0008917,M000004,CUS0003228,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-10-17,1499,0,0,2025-11-01,15,accepted,accepted_refunded,
DSP000048,TXN0008814,M000004,CUS0003171,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-07-21,399,570,222,2025-08-04,14,contested,won,2025-09-02
DSP000049,TXN0008593,M000004,,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-11-05,399,664,206,2025-11-14,9,contested,won,2025-11-26
DSP000050,TXN0009798,M000005,CUS0003400,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-07-17,1499,0,0,2025-08-02,16,accepted,accepted_refunded,
DSP000051,TXN0009238,M000005,,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-01-18,1499,441,241,2025-01-31,13,contested,lost,2025-02-01
DSP000052,TXN0009570,M000005,,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-12-14,999,0,0,2025-12-24,10,accepted,accepted_refunded,
DSP000053,TXN0009738,M000005,CUS0003401,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-12-09,999,433,274,2025-12-30,21,contested,lost,2026-01-23
DSP000054,TXN0010414,M000006,CUS0004498,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-11-27,10895,402,151,2025-12-14,17,contested,lost,2026-01-05
DSP000055,TXN0013558,M000006,CUS0004609,RuPay,SERVICE_NOT_RENDERED,Service Not Rendered,2026-02-07,4645,515,246,2026-02-14,7,contested,lost,2026-03-07
DSP000056,TXN0012896,M000006,,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-07-04,7199,0,0,2025-07-14,10,accepted,accepted_refunded,
DSP000057,TXN0010647,M000006,,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-06-04,5599,547,178,2025-06-11,7,contested,lost,2025-07-18
DSP000058,TXN0011167,M000006,,Mastercard,SERVICE_NOT_RENDERED,Service Not Rendered,2025-04-28,13299,0,0,2025-05-15,17,accepted,accepted_refunded,
DSP000059,TXN0011998,M000006,CUS0004339,RuPay,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-10-14,17099,413,218,2025-10-23,9,contested,lost,2025-11-08
DSP000060,TXN0011620,M000006,CUS0003700,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-06-10,6599,632,274,2025-06-17,7,contested,won,2025-07-18
DSP000061,TXN0012656,M000006,CUS0004277,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-03-14,1749,677,222,2025-03-24,10,contested,lost,2025-03-31
DSP000062,TXN0013228,M000006,CUS0004768,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-07-21,4699,613,180,2025-08-06,16,contested,lost,2025-09-02
DSP000063,TXN0013061,M000006,CUS0004862,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-09-01,2899,541,292,2025-09-17,16,contested,lost,2025-10-12
DSP000064,TXN0011938,M000006,CUS0004247,RuPay,SERVICE_NOT_RENDERED,Service Not Rendered,2025-07-21,40499,504,263,2025-08-11,21,contested,won,2025-08-08
DSP000065,TXN0012680,M000006,CUS0004534,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-07-12,9999,0,0,2025-07-19,7,accepted,accepted_refunded,
DSP000066,TXN0021311,M000007,CUS0006448,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2026-01-20,1149,724,271,2026-02-03,14,contested,won,2026-02-17
DSP000067,TXN0016592,M000007,CUS0005947,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-11-11,7099,508,196,2025-12-02,21,contested,won,2025-12-25
DSP000068,TXN0015059,M000007,CUS0007143,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-04-24,1499,610,208,2025-05-04,10,contested,won,2025-05-22
DSP000069,TXN0014118,M000007,CUS0007921,RuPay,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-09-30,3249,476,178,2025-10-18,18,contested,won,2025-10-17
DSP000070,TXN0021641,M000007,CUS0006493,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-06-05,5999,0,0,2025-06-13,8,accepted,accepted_refunded,
DSP000071,TXN0017749,M000007,CUS0005028,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-07-25,649,566,269,2025-08-03,9,contested,lost,2025-09-07
DSP000072,TXN0016807,M000007,,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2026-02-06,2795,0,0,2026-02-16,10,accepted,accepted_refunded,
DSP000073,TXN0014559,M000007,CUS0006494,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-08-18,1399,644,237,2025-08-25,7,contested,lost,2025-09-23
DSP000074,TXN0021265,M000007,CUS0006887,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-12-21,2499,664,284,2026-01-10,20,contested,won,2026-02-04
DSP000075,TXN0017607,M000007,CUS0005834,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-10-24,7495,558,251,2025-11-01,8,contested,lost,2025-12-08
DSP000076,TXN0014960,M000007,CUS0005266,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-11-04,2645,545,255,2025-11-14,10,contested,won,2025-11-21
DSP000077,TXN0014605,M000007,,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-05-22,1249,511,177,2025-06-05,14,contested,won,2025-06-09
DSP000078,TXN0017527,M000007,CUS0006285,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-11-25,9395,652,181,2025-12-11,16,contested,lost,2025-12-19
DSP000079,TXN0014560,M000007,CUS0006870,RuPay,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-04-18,5099,526,297,2025-05-05,17,contested,won,2025-05-13
DSP000080,TXN0016611,M000007,CUS0006902,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-08-13,1099,435,169,2025-09-03,21,contested,won,2025-09-17
DSP000081,TXN0016832,M000007,,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2026-01-10,1049,0,0,2026-01-28,18,accepted,accepted_refunded,
DSP000082,TXN0016842,M000007,,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-08-17,7399,533,151,2025-08-31,14,contested,won,2025-09-12
DSP000083,TXN0014856,M000007,CUS0006508,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2026-01-12,2245,0,0,2026-01-30,18,accepted,accepted_refunded,
DSP000084,TXN0019283,M000007,CUS0005247,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-01-30,2145,536,298,2025-02-19,20,contested,won,2025-02-21
DSP000085,TXN0018187,M000007,,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-09-26,4095,706,216,2025-10-11,15,contested,lost,2025-10-24
DSP000086,TXN0019057,M000007,CUS0007872,Visa,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-07-28,4549,0,0,2025-08-10,13,accepted,accepted_refunded,
DSP000087,TXN0016960,M000007,CUS0007420,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-10-07,5499,629,249,2025-10-23,16,contested,won,2025-11-17
DSP000088,TXN0020300,M000007,,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-08-02,1445,425,160,2025-08-19,17,contested,lost,2025-09-04
DSP000089,TXN0014107,M000007,,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-06-27,1249,0,0,2025-07-06,9,accepted,accepted_refunded,
DSP000090,TXN0018962,M000007,,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-11-16,429,0,0,2025-11-23,7,accepted,accepted_refunded,
DSP000091,TXN0022089,M000007,CUS0005794,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-11-07,209,447,285,2025-11-22,15,contested,won,2025-11-21
DSP000092,TXN0016581,M000007,CUS0005516,RuPay,DUPLICATE_TRANSACTION,Duplicate Transaction,2025-06-23,2045,583,201,2025-07-04,11,contested,won,2025-07-30
DSP000093,TXN0018138,M000007,CUS0007158,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-07-14,10799,641,205,2025-08-02,19,contested,won,2025-08-19
DSP000094,TXN0013857,M000007,CUS0007688,RuPay,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2026-03-04,6999,575,177,2026-03-12,8,contested,lost,2026-04-06
DSP000095,TXN0029559,M000088,CUS0010638,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-08-21,24999,639,198,2025-08-31,10,contested,won,2025-09-10
DSP000096,TXN0029712,M000088,CUS0010559,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-05-29,4999,592,237,2025-06-13,15,contested,lost,2025-06-12
DSP000097,TXN0030350,M000089,,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-03-11,1499,0,0,2025-03-29,18,accepted,accepted_refunded,
DSP000098,TXN0030153,M000089,CUS0010850,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-11-30,14999,678,293,2025-12-09,9,contested,lost,2026-01-04
DSP000099,TXN0030096,M000089,,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-10-16,1499,669,237,2025-11-03,18,contested,lost,2025-11-19
DSP000100,TXN0030589,M000090,,RuPay,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-09-05,24999,409,226,2025-09-13,8,contested,lost,2025-10-10
DSP000101,TXN0031004,M000090,CUS0011112,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-05-23,999,0,0,2025-06-09,17,accepted,accepted_refunded,
DSP000102,TXN0031193,M000091,,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-10-15,5999,693,275,2025-11-03,19,contested,lost,2025-11-12
DSP000103,TXN0031146,M000091,CUS0011182,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-10-07,5999,0,0,2025-10-27,20,accepted,accepted_refunded,
DSP000104,TXN0031323,M000091,CUS0011201,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-01-23,24999,406,166,2025-02-10,18,contested,won,2025-02-15
DSP000105,TXN0031959,M000092,CUS0011314,Mastercard,SERVICE_NOT_RENDERED,Service Not Rendered,2026-01-04,8999,0,0,2026-01-23,19,accepted,accepted_refunded,
DSP000106,TXN0031810,M000092,,RuPay,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-05-06,14999,680,275,2025-05-19,13,contested,won,2025-06-11
DSP000107,TXN0031671,M000092,,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-04-07,5999,696,177,2025-04-16,9,contested,lost,2025-04-26
DSP000108,TXN0032460,M000093,,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-12-24,1299,566,295,2026-01-11,18,contested,lost,2026-02-04
DSP000109,TXN0033000,M000094,,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-06-21,3849,451,193,2025-06-28,7,contested,won,2025-08-01
DSP000110,TXN0033124,M000094,CUS0011832,RuPay,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-06-20,2549,692,289,2025-07-01,11,contested,lost,2025-07-21
DSP000111,TXN0033442,M000095,CUS0011927,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-06-21,699,565,298,2025-07-01,10,contested,won,2025-07-07
DSP000112,TXN0033723,M000095,,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-07-31,1049,476,178,2025-08-17,17,contested,lost,2025-08-18
DSP000113,TXN0034225,M000096,,Mastercard,SERVICE_NOT_RENDERED,Service Not Rendered,2026-01-23,799,0,0,2026-02-07,15,accepted,accepted_refunded,
DSP000114,TXN0034073,M000096,,Mastercard,DUPLICATE_TRANSACTION,Duplicate Transaction,2025-10-23,19999,643,249,2025-10-31,8,contested,lost,2025-11-14
DSP000115,TXN0034191,M000096,CUS0012107,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-07-04,19999,0,0,2025-07-19,15,accepted,accepted_refunded,
DSP000116,TXN0033823,M000096,CUS0012204,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-05-16,799,0,0,2025-05-30,14,accepted,accepted_refunded,
DSP000117,TXN0034612,M000097,,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-03-15,8999,658,190,2025-03-29,14,contested,lost,2025-03-30
DSP000118,TXN0034574,M000097,CUS0012343,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-07-19,1499,685,217,2025-08-04,16,contested,lost,2025-08-31
DSP000119,TXN0034581,M000097,,RuPay,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-09-05,8999,739,204,2025-09-25,20,contested,won,2025-09-26
DSP000120,TXN0034452,M000097,,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-04-30,1499,0,0,2025-05-08,8,accepted,accepted_refunded,
DSP000121,TXN0034861,M000098,CUS0012581,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-10-29,3999,0,0,2025-11-13,15,accepted,accepted_refunded,
DSP000122,TXN0035173,M000098,,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2026-01-15,3999,655,193,2026-01-28,13,contested,lost,2026-02-27
DSP000123,TXN0035449,M000099,CUS0012728,Visa,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-05-02,2499,746,183,2025-05-09,7,contested,lost,2025-05-21
DSP000124,TXN0035808,M000099,CUS0012677,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-08-31,2499,0,0,2025-09-21,21,accepted,accepted_refunded,
DSP000125,TXN0035867,M000099,CUS0012655,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-11-24,2499,743,213,2025-12-05,11,contested,lost,2025-12-23
DSP000126,TXN0035783,M000099,CUS0012809,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-04-07,2499,0,0,2025-04-15,8,accepted,accepted_refunded,
DSP000127,TXN0036144,M000100,,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-10-18,1395,493,178,2025-11-07,20,contested,lost,2025-11-20
DSP000128,TXN0036732,M000101,CUS0013186,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-06-13,1345,0,0,2025-07-04,21,accepted,accepted_refunded,
DSP000129,TXN0036750,M000101,CUS0013083,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-06-05,649,624,243,2025-06-18,13,contested,lost,2025-07-11
DSP000130,TXN0036701,M000101,CUS0013069,Mastercard,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-09-14,1049,0,0,2025-10-05,21,accepted,accepted_refunded,
DSP000131,TXN0037275,M000102,CUS0013284,RuPay,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2026-01-29,4999,584,262,2026-02-10,12,contested,lost,2026-03-14
DSP000132,TXN0037198,M000102,CUS0013265,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-03-15,4999,0,0,2025-04-01,17,accepted,accepted_refunded,
DSP000133,TXN0037382,M000102,CUS0013328,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-04-24,4999,632,278,2025-05-15,21,contested,won,2025-06-06
DSP000134,TXN0037347,M000102,CUS0013391,Visa,MERCHANDISE_NOT_AS_DESCRIBED,Merchandise Not As Described,2025-11-07,4999,669,289,2025-11-27,20,contested,lost,2025-12-16
DSP000135,TXN0037644,M000103,,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-07-07,4999,667,290,2025-07-22,15,contested,lost,2025-08-20
DSP000136,TXN0037591,M000103,CUS0013505,RuPay,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-09-23,499,588,268,2025-10-01,8,contested,lost,2025-10-22
DSP000137,TXN0037822,M000103,,Mastercard,SERVICE_NOT_RENDERED,Service Not Rendered,2025-03-20,499,0,0,2025-04-04,15,accepted,accepted_refunded,
DSP000138,TXN0037555,M000103,CUS0013531,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-05-09,14999,0,0,2025-05-19,10,accepted,accepted_refunded,
DSP000139,TXN0038190,M000104,CUS0013759,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-02-27,4999,647,209,2025-03-16,17,contested,won,2025-03-30
DSP000140,TXN0038082,M000104,,Mastercard,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-05-30,4999,0,0,2025-06-10,11,accepted,accepted_refunded,
DSP000141,TXN0038374,M000104,CUS0013746,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-08-22,49999,0,0,2025-09-02,11,accepted,accepted_refunded,
DSP000142,TXN0039001,M000105,CUS0013967,Mastercard,MERCHANDISE_NOT_RECEIVED,Merchandise Not Received,2025-03-03,3545,544,277,2025-03-17,14,contested,lost,2025-04-07
DSP000143,TXN0038640,M000105,,RuPay,UNAUTHORIZED_TRANSACTION,Unauthorized Transaction,2025-05-16,1099,519,276,2025-06-05,20,contested,lost,2025-06-04
DSP000144,TXN0039278,M000106,CUS0014047,Visa,SERVICE_NOT_RENDERED,Service Not Rendered,2025-03-01,799,0,0,2025-03-08,7,accepted,accepted_refunded,
DSP000145,TXN0039422,M000106,,Mastercard,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-07-16,2999,658,295,2025-08-06,21,contested,won,2025-08-14
DSP000146,TXN0039593,M000106,,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-10-03,49999,0,0,2025-10-19,16,accepted,accepted_refunded,
DSP000147,TXN0039609,M000106,,Visa,RECURRING_BILLING_DISPUTE,Recurring Billing Dispute,2025-12-12,799,497,281,2025-12-29,17,contested,won,2026-01-13
DSP000148,TXN0039752,M000107,CUS0014230,Mastercard,SERVICE_NOT_RENDERED,Service Not Rendered,2025-04-02,4999,563,183,2025-04-13,11,contested,won,2025-05-13
DSP000149,TXN0040146,M000107,CUS0014250,Visa,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-06-19,4999,658,277,2025-07-06,17,contested,won,2025-08-01
DSP000150,TXN0040181,M000107,,Mastercard,CREDIT_NOT_PROCESSED,Credit Not Processed,2025-12-04,4999,588,166,2025-12-25,21,contested,won,2026-01-10
